film_id,language_id,title,description,release_year,language_sp,rental_duration,rental_rate,replacement_cost,rating,special_features,year_update,Mes_update,Dia_update
1,1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English,6,0.99,20.99,PG,"Deleted Scenes,Behind the Scenes",2006,02,15
2,1,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,English,3,4.99,12.99,G,"Trailers,Deleted Scenes",2006,02,15
3,1,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,English,7,2.99,18.99,NC-17,"Trailers,Deleted Scenes",2006,02,15
4,1,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,English,5,2.99,26.99,G,"Commentaries,Behind the Scenes",2006,02,15
5,1,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,English,6,2.99,22.99,G,Deleted Scenes,2006,02,15
6,1,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,English,3,2.99,17.99,PG,Deleted Scenes,2006,02,15
7,1,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,English,6,4.99,28.99,PG-13,"Trailers,Deleted Scenes",2006,02,15
8,1,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,English,6,4.99,15.99,R,Trailers,2006,02,15
9,1,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,English,3,2.99,21.99,PG-13,"Trailers,Deleted Scenes",2006,02,15
10,1,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,English,6,4.99,24.99,NC-17,"Trailers,Deleted Scenes",2006,02,15
11,1,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,English,6,0.99,16.99,G,"Commentaries,Behind the Scenes",2006,02,15
12,1,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,English,6,0.99,22.99,PG,"Commentaries,Deleted Scenes",2006,02,15
13,1,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,English,4,4.99,21.99,PG,"Deleted Scenes,Behind the Scenes",2006,02,15
14,1,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,English,6,0.99,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",2006,02,15
